AID	CLUSTER2	GSWGT1
90572384	1.13	1135.12
90572389	1.13	1006.77
90572393	1.18	1586.16
90572397	1.18	1572.89
90572448	1.19	3958.09
90572460	1.14	6239.89
90572469	1.14	3643.93
90572667	1.14	3462.31
90572862	1.14	3690.54
90572864	1.14	6239.89
90572900	1.16	3898.17
90572909	1.16	4766.65
90572920	1.11	2498.22
90572922	1.11	1206.7
90572925	1.11	2011.57
90572940	1.19	4171.05
90572974	1.2	3351.76
90572983	1.13	906.75
90572984	1.13	816.72
90572986	1.13	1146.16
90572991	1.18	1627.36
90572998	1.18	1586.16
90573011	1.85	1577.24
90573013	1.85	1799.06
90573117	1.85	1435.93
90573194	1.88	4072.59
90573212	1.85	3048.35
90573217	1.85	1577.24
90573222	1.81	3178.29
90573409	1.86	3633.27
90573491	1.88	3532.37
90573618	1.85	2294.64
90573818	1.85	3210.21
90573819	1.85	2008.84
90573897	1.88	4040.43
90573914	1.85	2063.13
90573940	1.89	2436.02
90573941	1.89	2196.12
90573945	1.89	2633.74
90573946	1.89	2415.24
90573947	1.89	2210.96
90573954	1.82	2656.4
90573956	1.82	2946.59
90573959	1.82	2665.43
90573992	1.88	4224.91
90573994	1.88	7085.33
90574133	1.67	4170.09
90574145	1.69	4216.54
90574197	1.68	5985.05
90574204	1.66	3692.64
90574205	1.66	5259.57
90574218	1.65	3236.67
90574307	1.66	601.97
90574335	1.67	3836.87
90574392	1.68	4441.25
90574415	1.65	7040.85
90574489	1.63	5032.73
90574494	1.68	3782.3
90574499	1.68	3782.3
90574503	1.66	5789.63
90574538	1.67	2762.77
90574697	1.68	4308.67
90574742	1.69	3243.3
90574744	1.69	5633.27
90574805	1.66	497.86
90574817	1.65	3195.6
90574835	1.67	2873.78
90574884	1.63	6567.07
90574890	1.68	3931.79
90574918	1.65	1057.18
90574935	1.67	1300.73
90574992	1.68	4468.39
90575005	1.26	2391.79
90575009	1.26	2681.65
90575027	1.21	1583.84
90575039	1.27	2219.94
90575111	1.25	3583.93
90575117	1.25	2621.19
90575118	1.25	3892.14
90575126	1.21	1209.14
90575131	1.27	2390.05
90575158	1.22	2591.84
90575160	1.24	3335.28
90575167	1.24	3286.99
90575188	1.23	2977.25
90575202	1.26	1503.63
90575205	1.26	2278.51
90575207	1.26	2954.16
90575210	1.25	2442.46
90575216	1.25	3547.85
90575229	1.21	1302.24
90575231	1.27	2135.5
90575243	1.29	1201.47
90575247	1.29	1083.72
90575250	1.22	2216.24
90575257	1.22	4644.58
90575263	1.24	3335.28
90575266	1.24	2466.02
90575279	1.3	4065.54
