AID	CLUSTER2	GSWGT3_2	GSWGT3
90576948	1.79	1879.27	2019.61
90576987	1.73	6038.38	 
90577063	1.94	5446.68	5869.76
90577065	1.94	7091.97	9117.86
90577119	1.95	10945.44	 
90577161	1.94	5446.68	5869.76
90577167	1.94	6948.02	7658.27
90577224	1.91	1643.25	1811.23
90577225	1.91	1948.16	2099.48
90577227	1.91	959.88	1026.69
90577229	1.91	1268.81	1309.96
90577256	1.92	4028.02	4439.78
90577259	1.92	4068.94	 
90577267	1.94	5365.82	5918.85
90577322	1.91	1643.25	1811.23
90577326	1.91	1268.81	 
90577411	1.95	6432.38	 
90577516	1.95	6171.52	 
90577618	1.95	4092.91	4514.74
90577712	1.95	5625.67	 
90577782	1.93	4600.62	5070.91
90577817	1.95	6226.58	6468.17
90577852	1.92	3855.56	4222.85
90577920	1.91	2278.95	 
90577928	1.91	3070.49	3345.79
90577929	1.91	573.98	621.89
90577964	1.94	5446.68	5869.76
90578004	1.56	1313.73	1473.21
90578025	1.51	6396.89	6893.77
90578044	1.59	5023.25	5501.78
90578076	1.6	16746.27	18458.15
90578105	1.56	4025.71	 
90578112	1.55	1347.08	1485.92
90578198	1.58	3798.94	4187.29
90578203	1.56	4717.93	5204.19
90578217	1.55	4625.53	4970.95
90578260	1.54	3044.28	 
90578288	1.53	4769.84	 
90578302	1.56	4717.93	5204.19
90578304	1.56	1531.41	1688.32
90578380	1.53	4769.84	 
90578404	1.56	4474.48	5017.67
90578461	1.54	3543.72	3818.99
90578487	1.53	1315.97	1475.73
90578496	1.58	3729.24	 
90578500	1.56	4494.7	5029.51
90578505	1.56	1531.41	1688.32
90578576	1.6	14941.07	16101.63
90578587	1.53	1004.11	1080.79
90578618	1.55	3876.04	4272.26
90578620	1.51	7249.47	7564.75
90578661	1.54	3311.19	3564.07
90578787	1.53	4717.52	5290.23
90578805	1.56	5543.97	7127.66
90578806	1.56	1313.73	1473.21
90578813	1.55	4456.57	 
90578846	1.59	5822.94	6257.79
90578873	1.6	17101.02	18378.09
90578880	1.53	3745.18	4131.18
90578923	1.51	733.28	789.28
90578927	1.51	7249.47	7564.75
90578981	1.53	4724.59	4877.82
90578985	1.53	1705.69	 
90578986	1.53	1006.24	 
90578999	1.58	3798.94	4187.29
90579230	1.07	6174.91	6807.61
90579233	1.07	4068.65	4487.98
90579270	1.1	7557.58	8144.62
90579271	1.1	9008.39	9400.17
90579272	1.1	9008.39	9400.17
90579296	1.08	4003.32	4177.43
90579944	1.09	3292.19	 
90579959	1.02	10594.48	11055.24
90579960	1.04	2743.42	2948.3
90579966	1.04	2715.8	2974.51
90579967	1.04	2799.47	3082.5
90579973	1.1	11025.11	 
90579985	1.03	5858.84	6384.15
90579990	1.08	3004.48	3237.86
90579992	1.08	5070.26	 
90579993	1.08	3242.25	3551.12
90606629	3.71	5856.68	7421.89
90606920	3.71	4390.36	4924.41
90608976	3.6	4563.8	4918.3
90614172	3.7	5211.1	5615.88
90614371	3.7	5211.1	5615.88
90614876	3.7	3755.1	 
90614978	3.7	4067.41	 
90619168	3.04	6336.31	6939.93
90619260	3.04	5191.09	5416.85
90619265	3.04	10016.06	 
90619360	3.04	10328.14	 
90619464	3.04	8434.95	9191.24
90619861	3.04	6336.31	6939.93
90619961	3.04	6793.69	7301.03
90636252	3.72	3323.29	3639.88
90646128	3.71	674.68	 
90676053	3.72	2697.39	2975.4
90676321	3.71	4510.47	 
90676422	3.71	6619.78	 
90676458	3.72	3430.42	3696.88
90676627	3.71	4553.67	 
90676725	3.71	4529.11	4993.18
90676829	3.71	643.16	694.83
90676953	3.72	3323.29	3639.88
90678178	3.6	5546.82	6075.22
90678378	3.6	6276.52	 
90678671	3.6	1290.31	1422.52
90710085	2.43	3926.96	4397.58
90710194	2.48	5260.75	5626.94
90710218	2.45	5784.38	6116.88
90710297	2.48	5604.51	6107.01
90710316	2.45	8274.96	9016.91
90710319	2.45	5151.11	5565.21
90710386	2.43	8305.92	8667.14
90710874	2.5	8831.75	9415.43
90710930	2.47	3285.92	3560.24
90710935	2.47	7781.25	8478.92
90711360	2.34	8851.14	9644.75
90712140	2.19	3923.71	4273.59
90712211	2.15	4226.66	4520.87
90712216	2.15	6457.07	6976.16
90712290	2.18	4159.25	4398.33
90712914	2.15	4477.04	4717.09
90712942	2.19	1346.16	1458.55
90712997	2.18	4159.25	4398.33
90713391	2.88	4931.43	5274.69
90713395	2.88	4931.43	5274.69
90713702	2.86	3924.36	 
90713909	2.86	3185.9	3451.87
90713930	2.87	5450.38	5763.68
90713998	2.88	4501.26	4863.11
90714016	2.65	17564.05	18464.4
90714018	2.65	10066.94	10907.37
90714022	2.61	5946.53	6360.45
90714025	2.61	6126.44	6618.94
90714212	2.65	11619.48	12655.6
90714232	2.67	5897.89	6372.02
90714233	2.67	4790.34	5364.42
90714236	2.67	6778.59	7126.07
90714237	2.67	3383.51	3665.98
90714238	2.67	4790.34	5364.42
90714245	2.69	5010.75	5413.57
90714328	2.61	8326.55	 
90714390	2.68	4380.48	4905.45
90714918	2.65	17547.94	18958.62
90714942	2.69	6300.24	6865.13
90715191	2.28	5560.24	6058.78
90715198	2.28	742.78	809.02
90715266	2.24	8063.93	8527.46
90715267	2.24	9413.17	 
90715294	2.28	2668.06	2987.81
90715353	2.22	3486.48	3693.31
90715983	2.23	6091.14	6637.28
90715987	2.23	2588.92	2797.04
90715988	2.23	4327.76	4629
90715993	2.28	3776.34	3993.41
90716050	2.72	4439.83	4695.04
90716064	2.74	3591.6	3880.33
90716091	2.78	1338.37	 
90716258	2.72	5136.97	5597.55
90716290	2.78	3707.81	3990.99
90716352	2.72	3547.63	 
90716390	2.78	4365.7	4589.49
90716951	2.72	3547.63	3794.57
90716952	2.72	5136.97	5597.55
90716969	2.74	3828.27	4048.33
90716973	2.8	586.41	623.66
90716975	2.8	665.5	725.17
